,id,latitude,longitude,time
337,1607925022885134148_30661481,40.417063727933,-3.7035201752774,2017-09-20 06:27:01
338,1607925016149490788_183804175,40.43152,-3.66284,2017-09-20 06:27:00
339,1607924986327134079_3806518951,40.419141937128,-3.670966561849,2017-09-20 06:26:56
340,1607924925419416874_1230548230,40.4,-3.68333,2017-09-20 06:26:49
341,1607924909740616729_6060822659,40.43923,-3.67381,2017-09-20 06:26:47
342,1607924894566039293_389642154,40.409577,-3.670084,2017-09-20 06:26:46
343,1607924891695557437_5430977579,40.4,-3.68333,2017-09-20 06:26:45
344,1607924875322137058_3581709223,40.42852,-3.70323,2017-09-20 06:26:43
345,1607924861766619064_835053025,40.4151461,-3.7068644,2017-09-20 06:26:42
346,1607924859426117496_196796271,40.42374,-3.69592,2017-09-20 06:26:41
347,1607924826960376689_1003545124,40.425622885837,-3.705249734389,2017-09-20 06:26:37
348,1607924811642905722_461906579,40.418017318363,-3.6800980567932,2017-09-20 06:26:36
349,1607924758476078291_1579360020,40.4,-3.68333,2017-09-20 06:26:29
350,1607924737747605563_427111254,40.4,-3.68333,2017-09-20 06:26:27
351,1607924693120919747_504481,40.45,-3.7,2017-09-20 06:26:22
352,1607924498613594134_5445572025,40.43905,-3.73164,2017-09-20 06:25:58
353,1607924472425652097_26251714,40.4183004373,-3.70945134997,2017-09-20 06:25:55
354,1607924406927262412_28160585,40.418,-3.721,2017-09-20 06:25:47
358,1607924396700458183_1358715115,40.41445,-3.7014,2017-09-20 06:25:46
359,1607924386709538716_627189174,40.427659356399,-3.7034572964477,2017-09-20 06:25:45
360,1607924367726742034_1512393020,40.4,-3.68333,2017-09-20 06:25:43
361,1607924346672029709_2013490034,40.41764,-3.70064,2017-09-20 06:25:40
362,1607924331084882488_607021035,40.41416863816,-3.6924807527939,2017-09-20 06:25:38
363,1607924273573026963_6055213552,40.4,-3.68333,2017-09-20 06:25:32
364,1607924271651649951_2752153215,40.42775,-3.70429,2017-09-20 06:25:31
365,1607924266559565364_622319411,40.4,-3.68333,2017-09-20 06:25:31
366,1607924260193803156_5353486614,40.434734734433,-3.6789147456477,2017-09-20 06:25:30
367,1607924206983663647_24094818,40.406721,-3.711636,2017-09-20 06:25:24
368,1607924204955311033_559513809,40.418333,-3.714167,2017-09-20 06:25:23
370,1607924194291725999_345881090,40.38861111,-3.69517778,2017-09-20 06:25:22
371,1607924035394563396_1279211523,40.4242,-3.70057,2017-09-20 06:25:03
373,1607924009701598180_32010267,40.40925,-3.69537,2017-09-20 06:25:00
374,1607923988074611680_35449386,40.4,-3.68333,2017-09-20 06:24:57
375,1607923959738949613_4301028971,40.45869,-3.67297,2017-09-20 06:24:54
377,1607923959252041090_3456199825,40.452937259887,-3.688770173838,2017-09-20 06:24:54
378,1607923931619119969_4562960037,40.4,-3.68333,2017-09-20 06:24:51
379,1607923919717531180_226533865,40.422144241453,-3.704149009822,2017-09-20 06:24:49
380,1607923902327510147_213582046,40.41974,-3.70611,2017-09-20 06:24:47
381,1607923840829350586_279116747,40.418,-3.721,2017-09-20 06:24:40
382,1607923779845316817_2782554848,40.4,-3.68333,2017-09-20 06:24:33
383,1607923693198030530_1411736602,40.40888889,-3.69972222,2017-09-20 06:24:22
384,1607923615092089553_1545294472,40.41052,-3.71204,2017-09-20 06:24:13
385,1607923589164309921_236860768,40.43067,-3.69044,2017-09-20 06:24:10
386,1607923578307815303_3631561376,40.452937259887,-3.688770173838,2017-09-20 06:24:09
387,1607923542758223717_6060822659,40.43923,-3.67381,2017-09-20 06:24:04
388,1607923394632020013_1246655576,40.4,-3.68333,2017-09-20 06:23:47
389,1607923375162757328_426525261,40.4,-3.68333,2017-09-20 06:23:44
390,1607923362982293751_270463412,40.42447,-3.68658,2017-09-20 06:23:43
391,1607923355356201818_2930111999,40.4,-3.68333,2017-09-20 06:23:42
392,1607923325862361925_2085201128,40.42508,-3.68774,2017-09-20 06:23:39
393,1607923324611108239_10567131,40.41764,-3.70064,2017-09-20 06:23:38
394,1607923323085156414_1900333884,40.39369,-3.72292,2017-09-20 06:23:38
395,1607923174858382810_3155413524,40.4,-3.68333,2017-09-20 06:23:21
396,1607923149591831709_4625546946,40.411070579405,-3.6830847771771,2017-09-20 06:23:18
398,1607923138889249857_901253506,40.41971,-3.71148,2017-09-20 06:23:16
399,1607923137075694387_228151383,40.4238118,-3.6719812,2017-09-20 06:23:16
400,1607923108856413554_378983669,40.4,-3.68333,2017-09-20 06:23:13
401,1607923099747364850_473760076,40.4,-3.68333,2017-09-20 06:23:12
402,1607923098598055426_4128361409,40.422726139673,-3.6980366706848,2017-09-20 06:23:11
403,1607923096307608890_1900333884,40.39369,-3.72292,2017-09-20 06:23:11
404,1607923045144604625_4309270094,40.42815,-3.68242,2017-09-20 06:23:05
405,1607923028778323916_378311645,40.42,-3.70361,2017-09-20 06:23:03
412,1607956420313918393_200255211,40.41369,-3.69954,2017-09-20 07:29:24
413,1607956359831416405_4139210865,40.42656,-3.70074,2017-09-20 07:29:17
414,1607956350787485776_502500284,40.4,-3.68333,2017-09-20 07:29:15
415,1607956200062529822_4006127705,40.43149,-3.68194,2017-09-20 07:28:57
416,1607956169232590941_5595062427,40.457627835191,-3.6908616429139,2017-09-20 07:28:54
418,1607956115975220115_3204675650,40.4,-3.68333,2017-09-20 07:28:47
419,1607956103702750180_389088553,40.4158,-3.70667,2017-09-20 07:28:46
420,1607956098820471636_14183577,40.417063727933,-3.7035201752774,2017-09-20 07:28:45
421,1607956077277602265_5741443023,40.4,-3.68333,2017-09-20 07:28:43
423,1607956076714926349_502500284,40.415556,-3.714444,2017-09-20 07:28:43
424,1607956074986697097_399429382,40.424052777778,-3.7177777777778,2017-09-20 07:28:43
425,1607955993063332507_1958764337,40.42015,-3.68963,2017-09-20 07:28:33
426,1607955914111063863_6060657189,40.404605902179,-3.7161953798402,2017-09-20 07:28:23
428,1607955879499744151_5556669558,40.4,-3.68333,2017-09-20 07:28:19
429,1607955862175938879_285811839,40.41842,-3.69659,2017-09-20 07:28:17
430,1607955846851205320_1322431745,40.414354,-3.682823,2017-09-20 07:28:15
431,1607955842716285424_624303117,40.4,-3.68333,2017-09-20 07:28:15
432,1607955815066769271_4074965229,40.45445,-3.68353,2017-09-20 07:28:12
433,1607955796854654900_5602966340,40.4,-3.68333,2017-09-20 07:28:09
434,1607955777712921536_1121401049,40.39089,-3.7314,2017-09-20 07:28:07
435,1607955719293085104_502500284,40.411070579405,-3.6830847771771,2017-09-20 07:28:00
436,1607955639359698284_210348611,40.45309,-3.68936,2017-09-20 07:27:51
437,1607955611249281963_559513809,40.4,-3.68333,2017-09-20 07:27:47
439,1607955610853549267_506275975,40.42317,-3.69795,2017-09-20 07:27:47
440,1607955590427960946_5806894126,40.411070579405,-3.6830847771771,2017-09-20 07:27:45
441,1607955556236266415_1109437548,40.422362486163,-3.6988700295589,2017-09-20 07:27:41
442,1607955539434631332_3919952927,40.42594,-3.69576,2017-09-20 07:27:39
